cnpjCoordenadorLider,cnpjEmissor,data,idRequerimento,nomeCoordenadorLider,nomeEmissor,nomeTipoRequerimento,nomeValorMobiliario,numeroProcesso,numeroProtocolo,numeroRegistro,possuiBook,razaoSocialFundoAssociado,registroAutomatico,statusDaOferta,tipoDeOferta,totalRegistros,valorTotalEmReais,vasoComunicante
33.817.677/0001-76,64.948.494/0001-13,16/04/2026,25973,ABC BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,RIALMA ENERGIA SPE S.A.,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Debêntures,SRE/1192/2026,1192/2026,,False,,True,Aguardando Bookbuilding,PRIMARIA,1043,"340.300.000,0000",False
04.845.753/0001-59,18.593.815/0001-97,16/04/2026,25873,ITAU BBA ASSESSORIA FINANCEIRA S.A,PRINER SERVIÇOS INDUSTRIAIS S.A.,OPD Aut Profissional - com bookbuilding,Debêntures,SRE/1102/2026,1102/2026,CVM/SRE/AUT/DEB/PRI/2026/204,True,,True,Registro Concedido,PRIMARIA,1043,"200.000.000,0000",False
90.400.888/0001-42,10.920.961/0001-78,16/04/2026,25959,BANCO SANTANDER (BRASIL) S.A.,SOMA URBANISMO S/A,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Notas Comerciais,SRE/1191/2026,1191/2026,,False,,True,Aguardando Bookbuilding,PRIMARIA,1043,"45.000.000,0000",False
06.271.464/0001-19,51.490.603/0001-50,16/04/2026,25931,BANCO BRADESCO BBI S.A.,PARQUE EOLICO JACOBINA 05 S.A.,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Debêntures,SRE/1190/2026,1190/2026,,False,,True,Aguardando Bookbuilding,PRIMARIA,1043,"45.000.000,0000",False
02.332.886/0001-04,03.497.792/0001-40,16/04/2026,25907,XP INVESTIMENTOS CCTVM S.A.,RODOVIAS INTEGRADAS DO OESTE S/A,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Debêntures,SRE/1142/2026,1143/2026,CVM/SRE/AUT/DEB/PRI/2026/203,True,,True,Registro Concedido,PRIMARIA,1043,"922.000.000,0000",False
59.588.111/0001-03,12.303.730/0001-40,16/04/2026,25916,BANCO VOTORANTIM S.A.,POSIDONIA SHIPPING & TRADING LTDA,OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado,Notas Comerciais,SRE/1189/2026,1189/2026,CVM/SRE/AUT/NOC/PRI/2026/073,False,,True,Registro Concedido,PRIMARIA,1043,"150.000.000,0000",False
00.360.305/0001-04,04.200.649/0001-07,16/04/2026,25909,CAIXA ECONOMICA FEDERAL,CIA PROVINCIA DE SECURITIZAÇÃO,OPD Aut Profissional - com bookbuilding,Certificados de Recebíveis Imobiliários,SRE/1137/2026,1138/2026,CVM/SRE/AUT/CRI/PRI/2026/216,True,,True,Registro Concedido,PRIMARIA,1043,"60.000.000,0000",False
13.486.793/0001-42,57.139.003/0001-28,16/04/2026,25949,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,IMPACTO ROXO FIDC DE PRECATÓRIOS DE RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1188/2026,1188/2026,CVM/SRE/AUT/FDC/PRI/2026/588;CVM/SRE/AUT/FDC/PRI/2026/589,False,IMPACTO ROXO FIDC DE PRECATÓRIOS DE RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,1043,"155.000.000,0000",False
24.361.690/0001-72,58.036.896/0001-49,16/04/2026,25968,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ORIZ JUS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1187/2026,1187/2026,CVM/SRE/AUT/FDC/PRI/2026/587,False,ORIZ JUS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,1043,"8.000.000,0000",False
48.343.871/0001-34,60.777.129/0001-32,16/04/2026,25960,BAMBOO SECURITIZADORA S.A.,DIRECTCON FUNDO DE INVESTIMENTO DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1186/2026,1186/2026,CVM/SRE/AUT/FDC/PRI/2026/586,False,DIRECTCON FUNDO DE INVESTIMENTO DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,1043,"20.000.000,0000",False
